iter	Passed	Remaining
0	146	146667
1	149	74472
2	152	50535
3	154	38399
4	156	31186
5	158	26288
6	160	22739
7	161	20081
8	164	18069
9	166	16451
10	167	15089
11	169	13944
12	171	12989
13	172	12169
14	174	11443
15	175	10815
16	177	10283
17	180	9824
18	181	9392
19	183	9002
20	185	8650
21	186	8310
22	188	8000
23	189	7724
24	192	7496
25	194	7273
26	196	7075
27	198	6879
28	199	6687
29	201	6513
30	203	6345
31	204	6189
32	206	6057
33	208	5921
34	210	5797
35	212	5681
36	213	5558
37	214	5442
38	216	5341
39	218	5244
40	220	5162
41	222	5080
42	224	4993
43	226	4916
44	227	4836
45	229	4757
46	231	4684
47	233	4623
48	234	4560
49	236	4497
50	238	4434
51	240	4378
52	241	4317
53	243	4260
54	244	4204
55	246	4156
56	248	4115
57	250	4069
58	252	4020
59	253	3977
60	255	3930
61	257	3889
62	258	3851
63	260	3811
64	262	3781
65	264	3746
66	266	3710
67	268	3676
68	269	3642
69	271	3606
70	273	3573
71	274	3538
72	276	3511
73	278	3490
74	281	3465
75	282	3436
76	284	3405
77	285	3374
78	287	3346
79	288	3318
80	290	3296
81	292	3276
82	293	3245
83	295	3222
84	297	3200
85	299	3179
86	300	3157
87	302	3133
88	304	3114
89	306	3097
90	308	3078
91	309	3057
92	311	3040
93	313	3019
94	314	2998
95	316	2978
96	318	2960
97	320	2950
98	322	2932
99	323	2913
100	325	2899
101	327	2884
102	329	2868
103	330	2850
104	332	2833
105	334	2821
106	336	2807
107	338	2792
108	340	2779
109	341	2763
110	343	2748
111	344	2733
112	346	2721
113	348	2710
114	350	2700
115	352	2685
116	353	2670
117	355	2655
118	356	2641
119	358	2627
120	359	2612
121	360	2597
122	362	2587
123	364	2576
124	366	2565
125	368	2552
126	369	2537
127	370	2525
128	372	2512
129	373	2500
130	375	2490
131	377	2482
132	379	2474
133	381	2463
134	383	2455
135	385	2446
136	386	2437
137	388	2427
138	390	2419
139	393	2415
140	395	2408
141	396	2395
142	398	2387
143	400	2379
144	402	2371
145	404	2363
146	406	2356
147	408	2350
148	410	2343
149	412	2337
150	414	2328
151	415	2319
152	417	2309
153	418	2300
154	420	2294
155	422	2286
156	424	2277
157	425	2270
158	427	2261
159	429	2253
160	430	2242
161	432	2234
162	433	2225
163	435	2219
164	437	2212
165	438	2204
166	440	2197
167	441	2188
168	443	2180
169	445	2172
170	446	2165
171	448	2157
172	450	2151
173	451	2145
174	453	2137
175	454	2129
176	456	2121
177	457	2113
178	459	2105
179	460	2097
180	461	2089
181	463	2081
182	465	2076
183	466	2069
184	468	2063
185	469	2056
186	471	2050
187	473	2044
188	475	2039
189	477	2034
190	479	2029
191	480	2023
192	482	2017
193	484	2011
194	485	2004
195	487	1999
196	488	1992
197	490	1986
198	492	1980
199	493	1974
200	495	1969
201	497	1964
202	499	1959
203	500	1953
204	502	1947
205	503	1941
206	505	1934
207	506	1930
208	508	1925
209	510	1919
210	511	1913
211	513	1906
212	514	1900
213	515	1894
214	517	1888
215	518	1882
216	519	1876
217	521	1870
218	523	1866
219	525	1863
220	527	1859
221	528	1853
222	530	1848
223	531	1842
224	533	1836
225	534	1832
226	536	1828
227	538	1823
228	539	1817
229	541	1812
230	542	1806
231	544	1801
232	545	1795
233	546	1789
234	548	1784
235	549	1779
236	550	1773
237	552	1768
238	554	1764
239	555	1758
240	556	1753
241	558	1747
242	559	1742
243	560	1737
244	562	1732
245	563	1727
246	564	1722
247	566	1717
248	568	1714
249	569	1709
250	571	1705
251	573	1701
252	574	1696
253	575	1691
254	577	1686
255	578	1682
256	580	1677
257	582	1674
258	583	1669
259	585	1665
260	586	1661
261	588	1656
262	589	1652
263	591	1648
264	592	1643
265	594	1639
266	595	1635
267	597	1632
268	599	1627
269	600	1623
270	601	1618
271	603	1614
272	604	1609
273	605	1605
274	607	1601
275	608	1597
276	610	1592
277	612	1589
278	613	1585
279	614	1581
280	616	1577
281	617	1572
282	619	1568
283	620	1564
284	621	1560
285	623	1556
286	624	1552
287	626	1549
288	628	1545
289	629	1541
290	630	1536
291	632	1533
292	633	1529
293	635	1525
294	636	1521
295	638	1518
296	639	1514
297	641	1511
298	642	1507
299	644	1503
300	645	1499
301	647	1495
302	648	1491
303	649	1487
304	651	1484
305	652	1480
306	654	1477
307	655	1473
308	657	1470
